race,year,winner,country,team,distance
Giro d'Italia,1939,Giovanni Valetti,Italy,Fréjus,"3,011 km (1,871 mi)"
Giro d'Italia,1940,Fausto Coppi,Italy,Legnano,"3,574 km (2,221 mi)"
Giro d'Italia,1941,~Not contested due to World War II,—,—,—
Giro d'Italia,1946,Gino Bartali,Italy,Legnano–Pirelli,"3,039 km (1,888 mi)"
Giro d'Italia,1947,Fausto Coppi,Italy,Bianchi,"3,843 km (2,388 mi)"
Giro d'Italia,1948,Fiorenzo Magni,Italy,Wilier Triestina,"4,164 km (2,587 mi)"
Giro d'Italia,1949,Fausto Coppi,Italy,Bianchi–Ursus,"4,088 km (2,540 mi)"
Giro d'Italia,1950,Hugo Koblet,Switzerland,Guerra–Ursus,"3,981 km (2,474 mi)"
Giro d'Italia,1951,Fiorenzo Magni,Italy,Ganna–Ursus,"4,153 km (2,581 mi)"
Giro d'Italia,1952,Fausto Coppi,Italy,Bianchi–Pirelli,"3,964 km (2,463 mi)"
Giro d'Italia,1953,Fausto Coppi,Italy,Bianchi–Pirelli,"4,035 km (2,507 mi)"
Giro d'Italia,1954,Carlo Clerici,Switzerland,Guerra–Ursus,"4,337 km (2,695 mi)"
Giro d'Italia,1955,Fiorenzo Magni,Italy,Clément–Fuchs,"3,861 km (2,399 mi)"
Giro d'Italia,1956,Charly Gaul,Luxembourg,Faema–Guerra,"3,523 km (2,189 mi)"
Giro d'Italia,1957,Gastone Nencini,Italy,Leo–Chlorodont,"3,926 km (2,440 mi)"
Giro d'Italia,1958,Ercole Baldini,Italy,Legnano,"3,341 km (2,076 mi)"
Giro d'Italia,1959,Charly Gaul,Luxembourg,EMI,"3,657 km (2,272 mi)"
Giro d'Italia,1960,Jacques Anquetil,France,Fynsec–Helyett,"3,481 km (2,163 mi)"
Giro d'Italia,1961,Arnaldo Pambianco,Italy,Fides,"4,004 km (2,488 mi)"
Giro d'Italia,1962,Franco Balmamion,Italy,Carpano,"4,180 km (2,600 mi)"
Giro d'Italia,1963,Franco Balmamion,Italy,Carpano,"4,063 km (2,525 mi)"
Giro d'Italia,1964,Jacques Anquetil,France,Saint-Raphaël–Gitane–Dunlop,"4,069 km (2,528 mi)"
Giro d'Italia,1965,Vittorio Adorni,Italy,Salvarani,"4,051 km (2,517 mi)"
Giro d'Italia,1966,Gianni Motta,Italy,Molteni,"3,976 km (2,471 mi)"
Giro d'Italia,1967,Felice Gimondi,Italy,Salvarani,"3,572 km (2,220 mi)"
